Ligand_Name,Binding_Affinity_kcal_mol
mol_1951.pdbqt,-9.39
mol_1643.pdbqt,-9.426
mol_883.pdbqt,-8.971
mol_1464.pdbqt,-10.347
mol_1362.pdbqt,-10.495
mol_1296.pdbqt,-9.862
mol_1478.pdbqt,-9.652
mol_1247.pdbqt,-9.525
mol_1345.pdbqt,-7.088
mol_528.pdbqt,-9.164
mol_1181.pdbqt,-10.176
mol_1573.pdbqt,-9.282
mol_307.pdbqt,-6.29
mol_1064.pdbqt,-9.899
mol_699.pdbqt,-10.376
mol_722.pdbqt,-9.559
mol_1570.pdbqt,-8.882
mol_1652.pdbqt,-9.123
mol_138.pdbqt,-8.911
mol_718.pdbqt,-9.281
mol_312.pdbqt,-9.855
mol_351.pdbqt,-9.982
mol_1307.pdbqt,-10.194
mol_640.pdbqt,-9.818
mol_1991.pdbqt,-9.91
mol_300.pdbqt,-9.318
mol_931.pdbqt,-9.006
mol_1497.pdbqt,-9.701
mol_1170.pdbqt,-9.358
mol_1846.pdbqt,-9.054
mol_1500.pdbqt,-9.677
mol_1790.pdbqt,-10.897
mol_434.pdbqt,-10.184
mol_92.pdbqt,-9.784
mol_1127.pdbqt,-9.585
mol_28.pdbqt,-8.166
mol_1898.pdbqt,-9.784
mol_319.pdbqt,-7.686
mol_1912.pdbqt,-9.945
mol_1739.pdbqt,-8.739
mol_139.pdbqt,-8.086
mol_46.pdbqt,-8.963
mol_302.pdbqt,-7.167
mol_1592.pdbqt,-9.938
mol_482.pdbqt,-10.097
mol_898.pdbqt,-10.544
mol_1699.pdbqt,-8.448
mol_1248.pdbqt,-9.49
mol_1759.pdbqt,-6.062
mol_726.pdbqt,-9.126
mol_486.pdbqt,-9.207
mol_206.pdbqt,-8.475
mol_160.pdbqt,-9.64
mol_1111.pdbqt,-9.051
mol_820.pdbqt,-10.832
mol_1235.pdbqt,-9.087
mol_1289.pdbqt,-9.263
mol_1525.pdbqt,-9.71
mol_1902.pdbqt,-10.295
mol_564.pdbqt,-9.638
mol_1018.pdbqt,-10.933
mol_721.pdbqt,-9.036
mol_193.pdbqt,-11.576
mol_276.pdbqt,-8.366
mol_237.pdbqt,-8.231
mol_1028.pdbqt,-9.867
mol_1608.pdbqt,-11.694
mol_1722.pdbqt,-9.015
mol_556.pdbqt,-10.226
mol_756.pdbqt,-7.82
mol_373.pdbqt,-8.682
mol_1437.pdbqt,-8.185
mol_1431.pdbqt,-10.209
mol_1872.pdbqt,-9.09
mol_1288.pdbqt,-9.788
mol_1250.pdbqt,-9.539
mol_1214.pdbqt,-9.246
mol_1514.pdbqt,-10.439
mol_1321.pdbqt,-9.683
mol_238.pdbqt,-11.23
mol_1283.pdbqt,-8.904
mol_1444.pdbqt,-8.913
mol_915.pdbqt,-8.755
mol_811.pdbqt,-7.518
mol_1179.pdbqt,-10.485
mol_1551.pdbqt,-9.75
mol_912.pdbqt,-6.953
mol_1013.pdbqt,-10.315
mol_1733.pdbqt,-9.969
mol_1618.pdbqt,-8.516
mol_612.pdbqt,-10.593
mol_1180.pdbqt,-11.118
mol_598.pdbqt,-9.575
mol_1690.pdbqt,-10.814
mol_1742.pdbqt,-8.377
mol_366.pdbqt,-9.064
mol_418.pdbqt,-9.491
mol_502.pdbqt,-10.133
mol_875.pdbqt,-10.123
mol_209.pdbqt,-9.185
mol_450.pdbqt,-9.468
mol_379.pdbqt,-10.247
mol_1376.pdbqt,-9.27
mol_163.pdbqt,-8.85
mol_1605.pdbqt,-9.057
mol_1577.pdbqt,-9.555
mol_1141.pdbqt,-8.973
mol_892.pdbqt,-8.846
mol_1496.pdbqt,-9.012
mol_1622.pdbqt,-11.06
mol_1258.pdbqt,-8.477
mol_1904.pdbqt,-8.819
mol_1772.pdbqt,-9.888
mol_1563.pdbqt,-8.447
mol_1405.pdbqt,-9.327
mol_733.pdbqt,-8.158
mol_577.pdbqt,-9.175
mol_1675.pdbqt,-10.292
mol_908.pdbqt,-9.619
mol_1186.pdbqt,-9.257
mol_396.pdbqt,-9.358
mol_840.pdbqt,-8.714
mol_23.pdbqt,-9.139
mol_1331.pdbqt,-8.325
mol_1682.pdbqt,-9.362
mol_1219.pdbqt,-9.23
mol_810.pdbqt,-10.32
mol_1808.pdbqt,-9.984
mol_73.pdbqt,-10.558
mol_963.pdbqt,-9.748
mol_458.pdbqt,-8.721
mol_1515.pdbqt,-11.872
mol_668.pdbqt,-8.92
mol_754.pdbqt,-9.389
mol_1644.pdbqt,-3.304
mol_1394.pdbqt,-9.334
mol_1450.pdbqt,-9.536
mol_1211.pdbqt,-10.326
mol_888.pdbqt,-10.489
mol_922.pdbqt,-8.895
mol_1104.pdbqt,-6.361
mol_625.pdbqt,-9.44
